F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB Wilshire Blvd @ Centinela Ave,EB,Wilshire Blvd,Centinela Ave,McClellan Dr,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Centinela Ave|0,24||BD",720 Final Bus Lane 4:55:16,
,EB Wilshire Blvd @ McClellan Dr,EB,Wilshire Blvd,McClellan Dr,Wellesley Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Mcclellan Dr|0,24||BD",720 Final Bus Lane 4:55:30,
,EB Wilshire Blvd @ Wellesley Ave,EB,Wilshire Blvd,Wellesley Ave,Amherst Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Wellesley Ave|0,24||BD",720 Final Bus Lane 4:55:36,
,EB Wilshire Blvd @ Amherst Ave,EB,Wilshire Blvd,Amherst Ave,S Bundy Dr,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Amherst Ave|0,24||BD",720 Final Bus Lane 4:55:46,
,EB Wilshire Blvd @ S Bundy Dr,EB,Wilshire Blvd,S Bundy Dr,Saltair Dr,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ S Bundy Dr|7,9,16,19|12345|BD",EB_720_1.MP4 0:30,x
,EB Wilshire Blvd @ S Saltair Dr,EB,Wilshire Blvd,S Saltair Dr,Brockton Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Saltair Dr|7,9,16,19|12345|BD",EB_720_1.MP4 0:50,x
,EB Wilshire Blvd @ Brockton Ave,EB,Wilshire Blvd,Brockton Ave,Armacost Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Brockton Ave|7,9,16,19|12345|BD",EB_720_1.MP4 1:02,x
,EB Wilshire Blvd @ Armacost Ave,EB,Wilshire Blvd,Armacost Ave,Westgate Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Armacost Ave|7,9,16,19|12345|BD",EB_720_1.MP4 1:12,x
,EB Wilshire Blvd @ Westgate Ave,EB,Wilshire Blvd,Westgate Ave,Granville Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Westgate Ave|7,9,16,19|12345|BD",EB_720_1.MP4 1:21,x
,EB Wilshire Blvd @ Granville Ave,EB,Wilshire Blvd,Granville Ave,Stoner Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Granville Ave|7,9,16,19|12345|BD",EB_720_1.MP4 1:32,x
